Site ID,Season,Mussel Species,Sample ID,15N At. Air,%N,13C VPDB,%C
DEER,Fall,Fatmucket,DCFM-01,11.8715,6.3679,-28.5446,29.9738
WHIT,Fall,Fatmucket,WRFM-01,11.6127,3.501,-28.4748,27.7618
SUGA,Fall,Fatmucket,SCFM-05,11.7597,5.76,-28.4583,28.1281
SUGA,Fall,Fatmucket,SCFM-06,12.1088,5.3923,-28.4182,25.7705
LAUG,Fall,Fatmucket,LCFM-09,9.2217,8.8349,-28.3883,39.0862
MISS,Fall,Fatmucket,MRFM-01,12.5166,7.5298,-28.3253,32.0832
DEER,Fall,Fatmucket,DCFM-07,11.0433,6.3602,-28.2405,30.5454
MUDC,Summer,Fatmucket,MC-FM-02,14.38731171,5.872394231,-28.12069149,24.45914947
DEER,Fall,Fatmucket,DCFM-04,11.1857,5.4598,-28.0711,28.0685
MISS,Fall,Fatmucket,MRFM-09,10.1849,6.7922,-28.0238,33.9451
DEER,Fall,Fatmucket,DCFM-05,11.4804,7.4743,-28.0173,34.6463
MUDC,Fall,Fatmucket,MCFM-04,9.6386,7.3702,-27.9684,33.8765
MISS,Fall,Fatmucket,MRFM-03,12.2796,5.7057,-27.9094,25.9519
MUDC,Fall,Fatmucket,MCFM-02,9.9954,6.6535,-27.8237,36.1077
MISS,Fall,Fatmucket,MRFM-10,12.2512,6.7517,-27.7665,30.0085
DEER,Fall,Fatmucket,DCFM-02,11.1303,5.7572,-27.7392,28.8281
RICH,Summer,Plain Pocketbook,RC PP-08,7.456,8.2548,-32.2947,35.8175
RICH,Summer,Plain Pocketbook,RC PP-10,7.5262,11.1476,-32.2212,42.5554
RICH,Summer,Plain Pocketbook,RC PP-01,7.4299,9.2679,-31.8536,39.1242
RICH,Summer,Plain Pocketbook,RC PP-05,7.2725,7.1699,-31.8154,30.8309
RICH,Summer,Plain Pocketbook,RC PP-03,7.5462,10.1481,-31.6869,38.6057
EELR,Summer,Plain Pocketbook,ER-PP-08-SP,10.9544,4.4813,-31.6497,26.171
RICH,Summer,Plain Pocketbook,RC PP-07,7.2825,7.0938,-31.6026,32.0026
EELR,Summer,Plain Pocketbook,ER-PP-07-SP,11.3213,9.8772,-31.3899,42.2379
EELR,Summer,Plain Pocketbook,ER-PP-05-SP,11.5376,9.1356,-31.384,38.3092
EELR,Summer,Plain Pocketbook,ER-PP-03-SP,11.6893,10.1895,-31.289,41.0243
EELR,Summer,Plain Pocketbook,ER-PP-02-SP,11.7405,11.4362,-31.0625,42.666
EELR,Summer,Plain Pocketbook,ER-PP-01-SP,11.7736,9.1336,-30.9626,38.3615
EELR,Summer,Plain Pocketbook,ER-PP-04-SP,11.799,9.8293,-30.8238,36.442
EELR,Summer,Plain Pocketbook,ER-PP-06-SP,11.9343,9.2266,-30.8091,36.8715
EELR,Summer,Plain Pocketbook,ER-PP-09-SP,11.4036,6.567,-30.6332,32.8788
WILD,Summer,Plain Pocketbook,WCC-PP-06-SP,11.2542,7.4879,-30.6037,37.4055
WILD,Summer,Plain Pocketbook,WCC-PP-08-SP,11.5723,7.5303,-30.2419,37.7699
WILD,Summer,Plain Pocketbook,WCC-PP-10-SP,11.0488,6.2367,-30.1402,35.0429
WILD,Summer,Plain Pocketbook,WCC-PP-01-SP,11.2031,7.9309,-30.0586,33.3962
WILD,Summer,Plain Pocketbook,WCC-PP-05-SP,11.3743,9.1348,-29.7974,40.0544
WILD,Summer,Plain Pocketbook,WCC-PP-09-SP,11.9062,9.2812,-29.721,35.899
SUGA,Summer,Plain Pocketbook,SC-PP-03,13.1565,12.1198,-29.5136,42.0007
SUGA,Summer,Plain Pocketbook,SC-PP-07,12.5525,10.2683,-29.4714,41.6677
WILD,Summer,Plain Pocketbook,WCC-PP-04-SP,12.1096,9.4341,-29.4674,39.1172
WILD,Summer,Plain Pocketbook,WCC-PP-03-SP,11.6127,8.6315,-29.4615,38.4073
WILD,Summer,Plain Pocketbook,WCC-PP-02-SP,11.6826,8.3495,-29.4508,34.1783
WILD,Summer,Plain Pocketbook,WCC-PP-07-SP,11.6826,10.3576,-29.3656,40.1653
MISS,Summer,Plain Pocketbook,MR-PP-09,12.5142,8.6664,-29.3557,40.3055
MISS,Summer,Plain Pocketbook,MR-PP-06,12.367,9.2869,-29.3489,41.8885
FISH,Summer,Plain Pocketbook,FC-PP-01 1/2,12.5136,8.7502,-29.3168,30.4601
WHIT,Summer,Plain Pocketbook,WR-PP-08,11.6191,6.9448,-29.2109,31.7859
DEER,Summer,Plain Pocketbook,DC-PP-06,11.196,9.4376,-29.2068,40.6224
WHIT,Summer,Plain Pocketbook,WR-PP-10,12.2719,9.7911,-29.1844,37.5853
DEER,Summer,Plain Pocketbook,DC-PP-08,11.761,10.8903,-29.0756,40.4365
MUDC,Summer,Plain Pocketbook,MC-PP-04,9.0169,8.8236,-29.0617,41.2506
DEER,Summer,Plain Pocketbook,DC-PP-10,10.8986,8.8576,-29.0149,37.3212
MISS,Summer,Plain Pocketbook,MR-PP-05,12.0364,10.554,-28.8435,41.4709
SUGA,Summer,Plain Pocketbook,SC-PP-02,12.5184,9.2198,-28.8215,37.4163
WHIT,Summer,Plain Pocketbook,WR-PP-05,12.1546,11.1124,-28.8149,41.6575
MISS,Summer,Plain Pocketbook,MR-PP-07,12.9419,9.8748,-28.7926,39.0926
MUDC,Summer,Plain Pocketbook,MC-PP-10,8.8684,7.1281,-28.7793,38.7606
WHIT,Summer,Plain Pocketbook,WR-PP-07,12.6068,5.0734,-28.7325,22.8672
SUGA,Summer,Plain Pocketbook,SC-PP-10,12.8685,11.332,-28.7264,41.4304
MUDC,Summer,Plain Pocketbook,MC-PP-06,8.4741,6.8149,-28.7186,36.6059
MUDC,Summer,Plain Pocketbook,MC-PP-07,8.9948,7.4328,-28.6794,37.6418
WHIT,Summer,Plain Pocketbook,WR-PP-09,12.3301,7.5555,-28.5914,30.7081
DEER,Summer,Plain Pocketbook,DC-PP-09,11.1299,6.7483,-28.5722,29.1275
MUDC,Summer,Plain Pocketbook,MC-PP-05,9.2537,8.6723,-28.4764,39.271
SUGA,Summer,Plain Pocketbook,SC-PP-05,13.1073,9.4717,-28.4608,33.1135
DEER,Summer,Plain Pocketbook,DC-PP-01,11.3623,9.0663,-28.1305,34.7037
RICH,Fall,Plain Pocketbook,RCPP-02,7.8025,6.7453,-33.4349,31.8041
RICH,Fall,Plain Pocketbook,RCPP-06,7.4925,5.5911,-33.3722,30.7548
RICH,Fall,Plain Pocketbook,RCPP-09,7.5248,5.5382,-33.2533,27.6735
RICH,Summer,Plain Pocketbook,RC-PP-06,7.767806505,8.519982735,-32.61423853,38.13781051
RICH,Summer,Plain Pocketbook,RC-PP-09,6.611701908,6.742278536,-32.50641371,34.6253578
RICH,Fall,Plain Pocketbook,RCPP-04,7.3249,6.3083,-32.1961,31.5153
RICH,Summer,Plain Pocketbook,RC-PP-04,7.588324525,4.938498981,-32.10648167,28.53391168
RICH,Summer,Plain Pocketbook,RC-PP-02,8.313271293,6.691009623,-31.68792534,26.46728243
LAUG,Fall,Plain Pocketbook,LCPP-09,10.0006,7.9482,-30.0986,34.3488
LAUG,Fall,Plain Pocketbook,LCPP-08,10.1596,7.8587,-30.0206,36.8872
FISH,Fall,Plain Pocketbook,FCPP-01,12.0606,5.8522,-29.9451,26.1454
MISS,Summer,Plain Pocketbook,MR-PP-01,11.9883553,7.195520085,-29.86107785,34.53576833
FISH,Fall,Plain Pocketbook,FCPP-02,12.4177,6.8927,-29.7692,30.2042
LAUG,Fall,Plain Pocketbook,LCPP-07,10.4698,4.7725,-29.7259,25.1809
EELR,Fall,Plain Pocketbook,ERPP-02,12.478,4.6233,-29.6751,21.6055
